과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
3.8056,2017-01,소매,경기 군포시 금정역,1613,가전제품소매
0.4044,2017-01,소매,부산 연제구 연산9동_1,442,가전제품소매
1.6212,2017-01,소매,서울 관악구 사당역,1792,가전제품소매
4.7081,2017-01,소매,정왕시장,1597,가전제품소매
0.8121,2017-01,소매,월평역,1237,가전제품소매
1.1340,2017-01,소매,광명사거리역,1805,가전제품소매
1.2576,2017-01,소매,광주 북구 일곡동_2,477,가전제품소매
0.4476,2017-01,소매,남해군청,140,가전제품소매
1.9649,2017-01,소매,금남로4가역_2,340,가전제품소매
0.7301,2017-01,소매,부산 동구 부산역,266,가전제품소매
0.8247,2017-01,소매,양산역,616,가전제품소매
3.6533,2017-01,소매,전북 남원시 도통동_1,634,가전제품소매
0.7751,2017-01,소매,충남 천안시 쌍용2동_1,1346,가전제품소매
0.7482,2017-01,소매,영천역,1049,가전제품소매
0.9552,2017-01,소매,목포종합버스터미널,135,가전제품소매
1.5927,2017-01,소매,경남 거창군 거창읍_1,731,가전제품소매
0.5374,2017-01,소매,서울 종로구 동대문역_2,2228,가전제품소매
0.4373,2017-01,소매,경북 경산시 하양읍_1,1003,가전제품소매
0.5437,2017-01,소매,경기 고양시 주엽역_2,2350,가전제품소매
1.1013,2017-01,소매,경북 구미시 선주원남동_6,1169,가전제품소매
0.5955,2017-01,소매,서울 강남구 논현역_1,1967,가전제품소매
1.0803,2017-01,소매,신부광장,1582,가전제품소매
2.3856,2017-01,소매,간석오거리역,1762,가전제품소매
0.5373,2017-01,소매,동춘당공원,1243,가전제품소매
0.3311,2017-01,소매,교대역_2,1881,가전제품소매
0.5532,2017-01,소매,경기 고양시 화정역_2,2307,가전제품소매
0.8743,2017-01,소매,안성시장,1435,가전제품소매
0.3588,2017-01,소매,신사동 가로수길,2045,가전제품소매
1.9213,2017-01,소매,경북 경주시 황성동_1,937,가전제품소매
0.5457,2017-01,소매,전북 전주시 서신동_1,809,가전제품소매
1.1661,2017-01,소매,광주 북구 일곡동_2,477,가전제품소매
4.3390,2017-01,소매,제주 제주시 이도2동_2,22,가전제품소매
3.1247,2017-01,소매,서울 서대문구 신촌역,2168,가전제품소매
0.3804,2017-01,소매,청도역,729,가전제품소매
1.0296,2017-01,소매,울주군청,669,가전제품소매
1.8276,2017-01,소매,구미역_2,1147,가전제품소매
0.6408,2017-01,소매,원주역,2529,가전제품소매
1.8907,2017-01,소매,경성대부경대역_2,299,가전제품소매
0.7582,2017-01,소매,장안문 로터리_1,1532,가전제품소매
0.5184,2017-01,소매,인천 서구 가좌1동_1,1869,가전제품소매
0.5435,2017-01,소매,제주 서귀포시 대정읍_1,1,가전제품소매
2.0763,2017-01,소매,경기 성남시 미금역_2,1594,가전제품소매
