시도,시군구,업종대분류,분류,업종중분류,1년 미만,1~2년,2~3년,3~5년,5년 이상,합계,평균
제주특별자치도,서귀포시,소매,기타,음/식료품소매,66,26,223,454,141,910,3.46
제주특별자치도,서귀포시,소매,기타,건강/미용식품,7,1,4,17,44,73,4.15
제주특별자치도,서귀포시,소매,기타,취미/오락관련소매,0,1,1,9,2,13,3.85
제주특별자치도,서귀포시,소매,기타,유아용품,0,0,0,0,1,1,5.0
제주특별자치도,서귀포시,소매,기타,페인트/유리제품소매,6,1,0,1,8,16,3.03
제주특별자치도,서귀포시,소매,기타,시계/귀금속소매,0,0,0,9,14,23,4.61
제주특별자치도,서귀포시,소매,기타,의약/의료품소매,1,0,1,7,2,11,3.73
제주특별자치도,서귀포시,소매,기타,사진/광학/정밀기기소매,19,2,5,30,34,90,3.5
제주특별자치도,서귀포시,소매,기타,책/서적/도서,0,1,3,11,10,25,4.12
제주특별자치도,서귀포시,소매,기타,예술품/골동품/수석/분재,1,3,21,2,5,32,2.83
제주특별자치도,서귀포시,소매,기타,종교용품판매,0,0,0,0,1,1,5.0
제주특별자치도,서귀포시,소매,기타,운동/경기용품소매,13,1,3,50,27,94,3.73
제주특별자치도,서귀포시,숙박,기타,민박/하숙,7,13,10,25,172,227,4.44
제주특별자치도,서귀포시,숙박,기타,유스호스텔,0,0,1,1,1,3,3.83
제주특별자치도,서귀포시,숙박,기타,캠프/별장/펜션,4,18,42,226,40,330,3.75
제주특별자치도,서귀포시,숙박,기타,호텔/콘도,31,29,39,70,57,226,3.19
제주특별자치도,서귀포시,숙박,기타,모텔/여관/여인숙,39,33,35,55,156,318,3.64
제주특별자치도,서귀포시,스포츠,기타,실외운동시설,0,1,8,6,29,44,4.33
제주특별자치도,서귀포시,스포츠,기타,실내운동시설,6,2,6,23,30,67,3.93
