시도,시군구,업종대분류,분류,업종중분류,업종소분류,건수
서울특별시,동작구,학문/교육,유아교육,유아교육,놀이방,7
서울특별시,동작구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,동작구,학문/교육,유아교육,유아교육,어린이집,173
서울특별시,동작구,학문/교육,유아교육,유아교육,유아교육기관기타,11
서울특별시,동작구,학문/교육,유아교육,유아교육,유치원,23
서울특별시,마포구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,마포구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,마포구,학문/교육,유아교육,유아교육,어린이집,178
서울특별시,마포구,학문/교육,유아교육,유아교육,유아교육기관기타,8
서울특별시,마포구,학문/교육,유아교육,유아교육,유치원,21
서울특별시,서대문구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,서대문구,학문/교육,유아교육,유아교육,어린이집,134
서울특별시,서대문구,학문/교육,유아교육,유아교육,유아교육기관기타,1
서울특별시,서대문구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,서초구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,서초구,학문/교육,유아교육,유아교육,동화구연,2
서울특별시,서초구,학문/교육,유아교육,유아교육,블럭놀이방,1
서울특별시,서초구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,서초구,학문/교육,유아교육,유아교육,어린이집,179
서울특별시,서초구,학문/교육,유아교육,유아교육,유아교육기관기타,24
서울특별시,서초구,학문/교육,유아교육,유아교육,유치원,21
서울특별시,성동구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,성동구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,성동구,학문/교육,유아교육,유아교육,어린이집,144
서울특별시,성동구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,성동구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,성북구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,성북구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,성북구,학문/교육,유아교육,유아교육,실내놀이터-유아,5
서울특별시,성북구,학문/교육,유아교육,유아교육,어린이집,252
서울특별시,성북구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,성북구,학문/교육,유아교육,유아교육,유치원,35
서울특별시,송파구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,송파구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,송파구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,송파구,학문/교육,유아교육,유아교육,어린이집,314
서울특별시,송파구,학문/교육,유아교육,유아교육,유아교육기관기타,10
서울특별시,송파구,학문/교육,유아교육,유아교육,유치원,33
서울특별시,양천구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,양천구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,양천구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,양천구,학문/교육,유아교육,유아교육,어린이집,292
서울특별시,양천구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,양천구,학문/교육,유아교육,유아교육,유치원,27
서울특별시,영등포구,학문/교육,유아교육,유아교육,놀이방,5
